",",",",",",",",",",","
Argelia,25,H,0,-1,1,1
Camerun,50,A,0,0,1,-1
Costa de Marfil,21,C,0,1,0,0
Ghana,38,G,0,0,0,-1
Nigeria,44,F,0,0,1,0
Australia,59,B,0,1,1,0
Iran,37,F,0,1,-1,0
Japon,47,C,0,0,0,1
Republica de Corea,55,H,0,-1,-1,-1
Alemania,2,G,3,1,1,0
Belgica,12,H,0,-1,-1,0
Boznia y Herzegovina,25,F,0,1,-1,-1
Croacia,20,A,0,0,0,1
Espania,1,B,1,1,-1,1
Francia,16,E,1,-1,1,1
Grecia,10,C,0,1,0,-1
Inglaterra,11,D,1,-1,-1,1
Italia,9,D,4,0,1,-1
Paises Bajos Holanda,15,B,0,0,-1,0
Portugal,3,G,0,-1,1,-1
Rusia,18,H,0,0,1,1
Suiza,8,E,0,1,-1,1
Costa Rica,34,D,0,1,-1,-1
Honduras,30,E,0,1,0,-1
EEUU,14,G,0,1,1,0
Mexico,19,A,0,1,0,0
Argentina,7,F,2,0,1,0
Colombia,5,C,0,0,0,0
Uruguay,6,D,2,1,0,0
Chile,13,B,0,-1,1,-1
Ecuador,28,E,0,0,1,0
Brasil,4,A,5,1,1,1
